trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000004939_IRNT_RBC,11.274,1,ENSG00000004939,IRNT_RBC
ENSG00000012048_Breast_cancer,51.4744,1,ENSG00000012048,Breast_cancer
ENSG00000023839_IRNT_biliru,17.0651,1,ENSG00000023839,IRNT_biliru
ENSG00000036828_IRNT_Ca,34.3873,1,ENSG00000036828,IRNT_Ca
ENSG00000072274_IRNT_RBC,19.5919,1,ENSG00000072274,IRNT_RBC
ENSG00000083093_Breast_cancer,29.0295,1,ENSG00000083093,Breast_cancer
ENSG00000084674_IRNT_LDL,272.996,1,ENSG00000084674,IRNT_LDL
ENSG00000084674_IRNT_TG,131.136,1,ENSG00000084674,IRNT_TG
ENSG00000105610_IRNT_RBC,16.5912,1,ENSG00000105610,IRNT_RBC
ENSG00000106633_IRNT_glu,13.7842,1,ENSG00000106633,IRNT_glu
ENSG00000106633_T2D,17.1641,1,ENSG00000106633,T2D
ENSG00000108821_ZBMD,11.3515,1,ENSG00000108821,ZBMD
ENSG00000110243_IRNT_TG,71.3051,1,ENSG00000110243,IRNT_TG
ENSG00000112964_IRNT_height,7.81997,1,ENSG00000112964,IRNT_height
ENSG00000119681_IRNT_height,10.9466,1,ENSG00000119681,IRNT_height
ENSG00000130164_Hypercholesterolemia,7.37794,1,ENSG00000130164,Hypercholesterolemia
ENSG00000132855_IRNT_LDL,30.4655,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,94.4138,1,ENSG00000132855,IRNT_TG
ENSG00000135100_T2D,8.09634,1,ENSG00000135100,T2D
ENSG00000135517_Cataract,25.1416,1,ENSG00000135517,Cataract
ENSG00000136068_IRNT_height,12.6371,1,ENSG00000136068,IRNT_height
ENSG00000139618_Breast_cancer,76.0314,1,ENSG00000139618,Breast_cancer
ENSG00000139618_Cancer_of_prostate,10.6917,1,ENSG00000139618,Cancer_of_prostate
ENSG00000140470_IRNT_height,35.6788,1,ENSG00000140470,IRNT_height
ENSG00000142303_IRNT_height,19.5929,1,ENSG00000142303,IRNT_height
ENSG00000149311_Breast_cancer,10.9169,1,ENSG00000149311,Breast_cancer
ENSG00000149311_Cancer_of_prostate,9.33686,1,ENSG00000149311,Cancer_of_prostate
ENSG00000152254_IRNT_glu,45.0215,1,ENSG00000152254,IRNT_glu
ENSG00000155657_Atrial_fibrillation,31.2186,1,ENSG00000155657,Atrial_fibrillation
ENSG00000159899_IRNT_height,30.117,1,ENSG00000159899,IRNT_height
ENSG00000162337_ZBMD,24.1366,1,ENSG00000162337,ZBMD
ENSG00000164867_hypertension,7.43069,1,ENSG00000164867,hypertension
ENSG00000166147_IRNT_height,8.75575,1,ENSG00000166147,IRNT_height
ENSG00000166603_IRNT_BMI,16.1227,1,ENSG00000166603,IRNT_BMI
ENSG00000167941_ZBMD,8.86921,1,ENSG00000167941,ZBMD
ENSG00000169174_Hypercholesterolemia,7.37579,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_LDL,163.783,1,ENSG00000169174,IRNT_LDL
ENSG00000175445_IRNT_TG,17.5769,1,ENSG00000175445,IRNT_TG
ENSG00000183765_Breast_cancer,23.7774,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,8.80048,1,ENSG00000183765,Cancer_of_prostate
ENSG00000205213_ZBMD,9.16649,1,ENSG00000205213,ZBMD
ENSG00000241635_IRNT_biliru,17.6154,1,ENSG00000241635,IRNT_biliru